location,time,previous_crime,weapon,motive,fingerprints,witness,crime,suspect
rural,day,high,knife,personal,yes,yes,yes,c
urban,night,medium,knife,personal,yes,no,yes,c
rural,night,high,gun,personal,no,no,yes,c
rural,night,low,none,revenge,no,yes,no,b
rural,night,high,knife,personal,yes,yes,yes,c
urban,day,medium,knife,personal,no,no,yes,c
rural,night,low,none,revenge,no,no,no,c
urban,day,high,gun,personal,yes,yes,yes,b
rural,night,low,gun,personal,yes,yes,no,b
rural,night,low,knife,personal,yes,no,no,c
urban,night,high,knife,personal,yes,no,yes,c
rural,night,high,gun,revenge,no,no,yes,c
rural,night,high,none,personal,yes,no,yes,c
rural,day,low,none,personal,yes,yes,no,c
rural,night,medium,gun,revenge,yes,yes,yes,b
rural,day,low,none,revenge,no,yes,no,a
rural,day,low,knife,personal,no,no,no,b
urban,day,high,knife,personal,no,yes,yes,c
urban,day,medium,knife,robbery,yes,no,yes,c
rural,day,medium,none,robbery,yes,no,no,c
rural,night,medium,none,personal,yes,yes,no,c
rural,night,low,knife,personal,yes,yes,no,c
urban,night,medium,knife,robbery,yes,no,yes,c
rural,night,low,gun,robbery,yes,yes,no,b
rural,day,high,none,personal,no,no,no,c
urban,day,high,knife,robbery,no,no,yes,c
urban,night,high,knife,robbery,no,yes,yes,c
urban,night,high,gun,robbery,no,no,yes,a
urban,day,medium,none,robbery,no,yes,no,c
rural,day,high,knife,revenge,no,yes,yes,a
urban,day,medium,knife,personal,no,yes,yes,a
rural,night,high,gun,robbery,yes,no,yes,c
urban,night,medium,gun,revenge,no,no,yes,c
rural,day,high,gun,personal,yes,no,yes,c
rural,night,high,gun,personal,no,no,yes,a
rural,night,high,none,robbery,yes,no,no,c
urban,night,medium,gun,robbery,yes,yes,yes,b
urban,day,high,knife,personal,no,no,yes,b
rural,day,high,knife,personal,yes,no,yes,c
rural,night,low,none,revenge,no,no,no,b
rural,day,high,none,revenge,no,no,yes,a
urban,night,low,none,revenge,no,no,no,a
rural,day,low,none,personal,no,no,no,b
urban,day,high,gun,robbery,yes,yes,yes,b
rural,night,medium,knife,revenge,yes,yes,yes,a
urban,day,low,none,robbery,no,no,no,c
rural,day,medium,knife,robbery,no,no,yes,b
rural,night,high,none,revenge,no,yes,yes,b
rural,night,high,knife,revenge,no,no,yes,a
urban,day,low,knife,personal,no,yes,no,b
urban,day,high,gun,robbery,yes,yes,yes,b
urban,night,low,gun,personal,no,yes,no,b
urban,day,low,none,personal,yes,yes,no,c
urban,day,high,gun,revenge,no,yes,yes,b
urban,day,high,gun,robbery,no,no,yes,b
urban,night,high,knife,robbery,yes,yes,yes,c
urban,day,medium,none,personal,yes,yes,yes,c
rural,day,medium,knife,personal,no,yes,yes,a
urban,day,low,gun,personal,yes,yes,no,b
urban,day,high,knife,revenge,no,no,yes,a
rural,day,medium,knife,robbery,yes,yes,yes,c
rural,day,low,gun,revenge,no,yes,no,b
rural,day,medium,knife,robbery,yes,yes,yes,c
urban,day,low,knife,revenge,yes,no,no,a
urban,night,medium,none,robbery,no,yes,yes,b
rural,night,high,none,robbery,no,yes,yes,c
rural,day,high,gun,revenge,yes,no,yes,c
rural,day,high,none,revenge,yes,no,yes,c
urban,day,low,gun,robbery,yes,no,no,c
urban,day,medium,none,personal,no,yes,yes,b
urban,night,high,knife,personal,no,no,yes,a
urban,day,low,knife,robbery,yes,yes,no,c
rural,night,medium,none,personal,yes,yes,yes,c
urban,day,high,knife,revenge,yes,yes,yes,a
rural,night,high,knife,revenge,no,no,yes,a
urban,day,high,gun,revenge,yes,yes,yes,b
urban,day,low,gun,robbery,yes,yes,no,b
rural,day,high,none,personal,no,no,yes,a
urban,day,medium,knife,revenge,yes,no,yes,a
rural,day,high,none,robbery,no,no,no,a
urban,night,high,gun,robbery,yes,yes,yes,b
rural,day,high,none,revenge,no,yes,yes,c
urban,night,medium,none,personal,yes,no,no,c
urban,day,low,none,revenge,yes,no,no,c
urban,day,medium,knife,personal,no,no,yes,a
urban,day,high,gun,personal,yes,yes,yes,b
rural,night,high,knife,revenge,no,no,yes,a
urban,night,high,knife,revenge,yes,no,yes,a
rural,night,low,gun,robbery,no,no,no,c
urban,night,high,gun,revenge,yes,no,yes,c
urban,day,low,gun,revenge,yes,yes,no,b
urban,night,low,knife,revenge,no,yes,no,a
rural,day,low,knife,personal,yes,no,no,c
urban,night,low,gun,revenge,yes,no,no,c
rural,day,high,gun,robbery,yes,no,yes,c
urban,night,medium,knife,robbery,no,yes,yes,b
urban,day,high,none,personal,yes,yes,yes,c
urban,night,medium,none,robbery,yes,no,yes,c
urban,day,low,gun,revenge,yes,yes,no,b
rural,night,low,none,robbery,yes,yes,no,c
rural,night,high,none,robbery,yes,no,no,c
rural,night,high,gun,personal,no,no,yes,a
urban,day,medium,gun,personal,no,no,yes,c
rural,day,low,gun,personal,yes,yes,no,b
urban,night,medium,none,personal,yes,no,yes,c
rural,day,high,none,revenge,yes,yes,yes,c
rural,night,medium,gun,revenge,yes,yes,yes,b
urban,night,low,gun,revenge,no,no,no,a
urban,night,medium,knife,robbery,yes,no,yes,c
rural,day,medium,gun,revenge,no,yes,yes,b
urban,day,high,gun,revenge,no,no,yes,c
urban,day,low,gun,personal,no,no,no,b
rural,night,high,none,robbery,yes,yes,no,c
rural,day,low,none,robbery,yes,yes,no,c
urban,day,low,knife,revenge,yes,no,no,a
rural,day,low,gun,personal,no,yes,no,b
rural,night,low,none,personal,yes,no,no,c
rural,night,high,gun,revenge,yes,yes,yes,b
rural,night,high,none,robbery,yes,no,no,c
urban,day,high,gun,revenge,no,no,yes,a
urban,night,medium,gun,personal,no,no,yes,a
rural,day,high,none,robbery,yes,yes,no,c
urban,night,medium,knife,personal,no,yes,yes,b
rural,night,high,knife,robbery,yes,yes,yes,c
urban,day,high,none,robbery,no,yes,yes,a
urban,day,high,gun,personal,yes,no,yes,c
urban,day,low,none,robbery,no,no,no,a
rural,night,high,knife,personal,yes,no,yes,c
urban,night,medium,knife,robbery,no,no,yes,a
urban,night,medium,gun,revenge,yes,no,yes,c
rural,day,high,knife,personal,yes,no,yes,c
urban,night,medium,none,personal,no,no,no,a
urban,day,medium,none,robbery,no,yes,yes,c
urban,night,low,knife,personal,no,no,no,b
rural,night,low,knife,personal,no,yes,no,c
rural,day,medium,knife,personal,no,no,yes,a
rural,night,high,gun,robbery,no,no,yes,b
urban,night,medium,gun,personal,yes,yes,yes,b
urban,day,low,knife,personal,no,no,no,a
rural,day,medium,none,personal,no,no,no,c
rural,day,medium,knife,personal,yes,yes,yes,c
rural,night,high,knife,robbery,no,yes,yes,c
rural,day,high,none,personal,yes,yes,yes,c
urban,night,high,knife,robbery,yes,no,yes,c
urban,day,medium,gun,revenge,yes,yes,yes,b
urban,day,high,none,robbery,no,yes,no,b
urban,day,high,knife,personal,yes,yes,yes,c
rural,night,high,knife,revenge,no,yes,yes,a
urban,day,high,knife,personal,no,yes,yes,a
urban,day,high,gun,revenge,yes,no,yes,c
urban,night,medium,knife,personal,yes,no,yes,c
rural,night,high,none,robbery,no,yes,yes,b
rural,day,high,none,personal,no,yes,no,a
urban,night,low,none,personal,yes,yes,no,c
rural,night,high,knife,robbery,yes,yes,yes,c
urban,night,high,none,revenge,yes,no,yes,c
urban,day,high,gun,revenge,yes,no,yes,c
urban,night,medium,knife,personal,yes,no,yes,c
rural,day,high,knife,personal,yes,no,yes,c
rural,night,high,none,personal,yes,no,yes,c
urban,night,medium,none,robbery,no,no,yes,b
urban,day,high,knife,personal,no,no,yes,b
rural,day,high,gun,personal,yes,yes,yes,b
urban,day,high,gun,personal,yes,yes,yes,b
rural,night,low,gun,personal,yes,no,no,c
urban,day,low,gun,revenge,no,no,no,a
rural,day,high,knife,personal,yes,yes,yes,c
rural,day,low,knife,personal,no,yes,no,a
urban,day,medium,gun,revenge,yes,no,yes,c
urban,day,low,none,personal,no,yes,no,c
rural,day,medium,none,revenge,no,yes,yes,b
urban,night,high,knife,personal,no,no,yes,a
rural,night,high,gun,revenge,no,yes,yes,b
rural,night,high,knife,personal,no,no,yes,a
rural,night,low,gun,personal,no,yes,no,b
urban,night,low,gun,revenge,yes,no,no,c
rural,night,low,knife,revenge,no,no,no,a
rural,day,medium,gun,revenge,yes,yes,yes,b
urban,night,high,knife,personal,no,no,yes,a
urban,night,low,gun,robbery,yes,yes,no,b
rural,night,high,none,personal,yes,yes,no,c
rural,day,high,knife,revenge,yes,yes,yes,a
urban,day,medium,gun,revenge,no,no,yes,a
rural,night,low,knife,revenge,no,yes,no,a
urban,night,high,gun,revenge,yes,yes,yes,b
rural,night,high,gun,personal,yes,yes,yes,b
urban,night,low,knife,robbery,no,no,no,a
rural,night,medium,gun,revenge,no,no,yes,b
rural,night,high,none,personal,no,no,no,c
urban,night,low,none,revenge,yes,yes,no,c
rural,day,high,gun,personal,yes,yes,yes,b
urban,night,low,gun,personal,no,no,no,c
urban,night,high,gun,personal,yes,no,yes,c
urban,day,low,none,robbery,no,yes,no,a
urban,night,high,none,robbery,yes,yes,yes,c
rural,night,low,gun,revenge,no,no,no,b
rural,day,high,none,personal,no,no,no,c
urban,night,medium,knife,robbery,yes,no,yes,c
rural,day,low,gun,robbery,no,no,no,a
rural,day,high,knife,robbery,yes,yes,yes,c
urban,day,medium,none,revenge,no,no,yes,a
urban,day,low,none,revenge,no,no,no,a
rural,night,high,none,robbery,no,yes,yes,a
urban,day,low,none,revenge,no,yes,no,c
rural,day,high,knife,revenge,no,no,yes,a
rural,day,low,gun,revenge,no,yes,no,b
urban,day,high,gun,robbery,yes,no,yes,c
urban,day,medium,knife,personal,no,yes,yes,b
urban,day,low,gun,personal,no,no,no,b
rural,day,high,knife,robbery,no,yes,yes,a
urban,day,low,knife,robbery,no,no,no,a
urban,night,high,none,revenge,yes,yes,yes,c
urban,night,low,knife,revenge,yes,yes,no,a
rural,day,medium,none,robbery,yes,no,no,c
urban,night,low,knife,revenge,no,yes,no,a
urban,night,medium,gun,personal,no,no,yes,b
rural,night,medium,none,revenge,yes,no,no,c
rural,day,low,gun,revenge,yes,yes,no,b
rural,night,high,none,robbery,yes,yes,yes,c
rural,night,medium,none,robbery,no,no,yes,c
rural,day,medium,none,revenge,yes,yes,no,c
urban,night,high,gun,robbery,no,no,yes,b
rural,night,high,gun,personal,no,yes,yes,b
urban,night,medium,none,personal,no,yes,yes,a
urban,day,medium,none,personal,no,yes,no,c
rural,night,high,gun,personal,yes,yes,yes,b
rural,night,low,none,robbery,yes,no,no,c
rural,day,high,knife,robbery,yes,no,yes,c
urban,day,medium,none,robbery,yes,yes,no,c
rural,day,high,gun,personal,yes,no,yes,c
urban,day,low,gun,revenge,yes,yes,no,b
urban,night,medium,gun,robbery,no,no,yes,a
rural,day,low,none,personal,no,no,no,b
urban,day,high,knife,personal,no,yes,yes,a
urban,day,high,knife,personal,yes,yes,yes,c
rural,night,low,none,personal,no,no,no,b
urban,day,high,knife,revenge,yes,yes,yes,a
rural,day,low,none,revenge,yes,yes,no,c
urban,day,low,knife,personal,yes,no,no,c
rural,night,medium,gun,robbery,no,no,yes,c
rural,night,high,knife,personal,yes,no,yes,c
rural,night,medium,gun,robbery,yes,yes,yes,b
urban,day,low,none,robbery,no,yes,no,c
rural,night,medium,gun,robbery,no,yes,yes,b
urban,night,high,none,revenge,yes,yes,yes,c
rural,day,low,none,robbery,no,no,no,b
urban,night,high,none,personal,no,no,yes,a
rural,day,low,none,personal,no,yes,no,b
rural,day,high,none,personal,no,yes,no,a
urban,night,high,knife,personal,yes,yes,yes,c
rural,day,medium,gun,revenge,no,yes,yes,b
rural,night,medium,knife,robbery,no,yes,yes,c
urban,day,low,gun,personal,no,no,no,b
urban,night,medium,none,revenge,yes,yes,yes,c
urban,night,high,gun,revenge,no,no,yes,a
urban,night,medium,gun,revenge,no,yes,yes,b
rural,night,high,knife,personal,yes,no,yes,c
urban,day,low,gun,personal,yes,no,no,c
urban,night,high,gun,personal,yes,yes,yes,b
urban,night,medium,gun,robbery,yes,yes,yes,b
urban,day,low,knife,robbery,no,yes,no,a
urban,night,high,none,robbery,yes,no,yes,c
urban,day,low,gun,personal,no,yes,no,b
urban,night,medium,knife,revenge,no,yes,yes,a
urban,night,medium,knife,revenge,yes,no,yes,a
urban,night,medium,gun,revenge,no,yes,yes,b
urban,night,medium,gun,revenge,yes,no,yes,c
urban,night,low,knife,robbery,yes,yes,no,c
urban,day,high,gun,robbery,no,no,yes,c
urban,day,low,gun,personal,yes,yes,no,b
rural,night,medium,gun,revenge,no,no,yes,c
urban,day,high,knife,personal,yes,yes,yes,c
urban,night,low,knife,personal,no,no,no,a
rural,day,low,none,personal,yes,yes,no,c
rural,night,low,knife,revenge,yes,no,no,a
rural,day,medium,gun,revenge,no,yes,yes,b
urban,night,low,none,robbery,yes,yes,no,c
urban,day,high,none,revenge,yes,no,no,c
rural,day,medium,knife,personal,yes,yes,yes,c
urban,day,high,knife,robbery,no,yes,yes,c
urban,day,medium,none,personal,yes,yes,no,c
rural,night,medium,gun,personal,no,yes,yes,b
rural,night,low,knife,personal,yes,yes,no,c
urban,day,low,gun,revenge,yes,yes,no,b
urban,day,high,none,robbery,yes,no,yes,c
urban,day,low,gun,revenge,yes,no,no,c
rural,night,high,none,personal,no,yes,yes,c
urban,night,high,none,revenge,yes,no,yes,c
rural,day,medium,none,personal,no,yes,no,b
urban,night,medium,none,personal,yes,no,no,c
urban,day,high,gun,robbery,yes,no,yes,c
urban,night,medium,knife,revenge,yes,no,yes,a
urban,night,high,knife,robbery,yes,yes,yes,c
rural,day,high,knife,revenge,yes,yes,yes,a
urban,day,low,none,personal,yes,no,no,c
rural,day,high,gun,robbery,yes,yes,yes,b
rural,day,high,none,personal,no,yes,no,c
rural,night,high,knife,revenge,no,yes,yes,a
rural,day,high,none,revenge,no,yes,yes,a
rural,day,high,none,revenge,no,yes,yes,c
rural,night,high,none,robbery,yes,yes,no,c
urban,night,low,none,robbery,no,yes,no,c
urban,night,high,none,robbery,no,yes,yes,c
rural,night,low,gun,personal,yes,no,no,c
rural,night,medium,knife,personal,no,no,yes,c
urban,night,medium,knife,robbery,no,no,yes,a
urban,day,high,gun,robbery,yes,no,yes,c
rural,night,medium,none,revenge,no,no,yes,a
rural,day,high,gun,robbery,no,yes,yes,b
urban,night,high,knife,revenge,no,no,yes,a
urban,day,high,none,revenge,yes,no,no,c
urban,day,medium,none,personal,no,yes,yes,a
urban,day,high,gun,personal,yes,no,yes,c
rural,day,high,none,revenge,no,no,yes,a
rural,day,high,gun,robbery,yes,yes,yes,b
urban,night,low,none,personal,yes,no,no,c
rural,day,medium,none,revenge,yes,yes,no,c
rural,night,medium,knife,revenge,no,yes,yes,a
urban,night,low,none,personal,yes,no,no,c
rural,day,medium,knife,personal,yes,no,yes,c
rural,day,high,knife,robbery,no,yes,yes,c
urban,night,low,none,robbery,no,yes,no,c
urban,day,medium,knife,robbery,yes,no,yes,c
urban,night,medium,gun,robbery,yes,yes,yes,b
rural,night,high,none,revenge,no,no,yes,a
rural,night,high,none,revenge,no,yes,yes,a
urban,night,medium,knife,robbery,yes,no,yes,c
urban,day,medium,knife,robbery,yes,no,yes,c
rural,day,low,gun,revenge,yes,yes,no,b
rural,day,low,knife,robbery,yes,yes,no,c
rural,night,high,knife,robbery,yes,yes,yes,c
urban,night,low,none,personal,no,no,no,b
rural,day,high,none,personal,no,yes,no,b
urban,day,low,gun,personal,no,no,no,a
rural,night,high,none,revenge,yes,yes,yes,c
urban,night,medium,gun,revenge,yes,no,yes,c
urban,night,medium,knife,revenge,no,yes,yes,a
urban,night,high,knife,personal,no,no,yes,b
rural,night,low,none,robbery,yes,no,no,c
rural,night,high,knife,robbery,yes,yes,yes,c
rural,day,medium,gun,personal,yes,yes,yes,b
urban,night,medium,gun,robbery,yes,no,yes,c
rural,night,high,gun,personal,yes,no,yes,c
rural,day,low,none,robbery,no,yes,no,a
rural,night,medium,none,revenge,no,yes,yes,a
urban,night,medium,none,revenge,no,yes,yes,a
urban,night,low,gun,revenge,no,yes,no,b
rural,night,medium,none,personal,no,yes,no,c
urban,night,medium,knife,personal,no,yes,yes,a
urban,night,low,gun,robbery,yes,no,no,c
rural,day,low,knife,revenge,yes,no,no,a
urban,day,low,knife,robbery,yes,no,no,c
rural,day,medium,knife,robbery,yes,no,yes,c
urban,day,low,gun,personal,no,no,no,a
urban,day,low,knife,robbery,yes,yes,no,c
urban,night,medium,none,robbery,no,no,yes,c
urban,day,high,gun,robbery,yes,no,yes,c
rural,night,low,gun,revenge,yes,yes,no,b
rural,day,low,none,revenge,no,yes,no,a
rural,day,low,none,robbery,no,no,no,a
rural,night,low,knife,personal,yes,yes,no,c
rural,day,medium,none,revenge,yes,no,yes,c
urban,night,high,none,revenge,yes,no,yes,c
rural,night,low,gun,robbery,no,no,no,a
rural,day,medium,knife,revenge,no,yes,yes,a
rural,day,medium,gun,revenge,no,no,yes,a
rural,night,medium,none,personal,yes,no,no,c
urban,day,high,knife,personal,yes,yes,yes,c
urban,day,high,knife,robbery,no,yes,yes,c
rural,day,low,gun,personal,yes,yes,no,b
urban,day,low,gun,robbery,no,yes,no,b
rural,day,high,knife,robbery,yes,yes,yes,c
rural,day,low,none,personal,yes,yes,no,c
rural,night,medium,gun,personal,no,no,yes,b
rural,night,medium,gun,robbery,yes,yes,yes,b
urban,night,medium,gun,revenge,no,no,yes,a
urban,night,low,none,revenge,yes,yes,no,c
urban,day,low,none,revenge,yes,yes,no,c
urban,night,low,none,revenge,no,no,no,c
urban,night,medium,none,personal,no,no,yes,b
urban,night,low,none,personal,no,yes,no,b
urban,night,medium,none,robbery,no,yes,yes,b
urban,night,medium,knife,robbery,no,no,yes,b
rural,day,medium,knife,robbery,no,no,yes,a
rural,day,high,none,personal,yes,no,no,c
rural,night,low,none,robbery,no,yes,no,c
urban,night,low,none,robbery,no,no,no,c
rural,day,medium,none,revenge,yes,yes,no,c
urban,night,high,gun,robbery,no,no,yes,c
urban,day,high,gun,robbery,no,no,yes,a
urban,day,high,none,robbery,yes,yes,yes,c
urban,night,low,knife,personal,yes,yes,no,c
urban,day,low,knife,revenge,yes,no,no,a
urban,day,medium,knife,personal,no,yes,yes,c
rural,night,medium,knife,personal,yes,yes,yes,c
urban,night,medium,none,revenge,yes,yes,no,c
rural,day,high,none,revenge,yes,no,yes,c
urban,day,low,gun,personal,yes,no,no,c
rural,night,medium,gun,personal,yes,no,yes,c
rural,night,medium,none,personal,no,yes,yes,c
urban,day,low,gun,personal,no,yes,no,b
rural,day,low,none,revenge,no,yes,no,a
urban,day,medium,none,personal,no,no,yes,c
rural,night,high,gun,revenge,yes,yes,yes,b
urban,day,medium,knife,personal,yes,no,yes,c
urban,day,low,knife,revenge,yes,yes,no,a
rural,day,low,none,revenge,no,yes,no,a
urban,night,high,gun,revenge,yes,yes,yes,b
rural,night,medium,knife,revenge,no,no,yes,a
rural,day,high,none,revenge,no,yes,yes,b
urban,day,low,gun,revenge,yes,no,no,c
rural,night,high,none,robbery,yes,no,no,c
urban,night,low,gun,robbery,yes,yes,no,b
rural,day,high,knife,revenge,no,no,yes,a
rural,night,medium,none,personal,no,yes,yes,b
urban,day,high,gun,robbery,no,no,yes,b
rural,day,high,gun,robbery,no,no,yes,a
rural,night,high,gun,robbery,no,no,yes,a
rural,day,medium,gun,robbery,yes,yes,yes,b
urban,night,high,none,revenge,no,no,yes,c
rural,day,low,knife,revenge,no,yes,no,a
urban,night,high,gun,personal,yes,no,yes,c
urban,day,medium,none,revenge,no,yes,yes,c
urban,night,high,gun,personal,no,no,yes,c
rural,day,low,none,robbery,yes,yes,no,c
urban,night,medium,none,revenge,no,no,yes,c
urban,night,high,knife,robbery,no,yes,yes,c
rural,night,high,knife,robbery,no,no,yes,b
urban,night,low,knife,robbery,no,yes,no,a
urban,night,low,gun,robbery,yes,yes,no,b
rural,day,high,knife,revenge,no,yes,yes,a
urban,day,high,none,personal,yes,no,no,c
urban,day,medium,none,personal,no,no,no,b
rural,day,high,none,robbery,yes,yes,no,c
rural,night,medium,gun,robbery,yes,no,yes,c
rural,night,low,none,personal,no,yes,no,b
urban,night,low,none,personal,yes,no,no,c
urban,day,high,knife,personal,no,no,yes,b
urban,night,medium,none,revenge,no,yes,yes,a
rural,day,low,none,revenge,yes,no,no,c
urban,day,low,knife,robbery,no,no,no,c
rural,night,medium,none,personal,no,no,yes,a
urban,day,high,knife,personal,no,no,yes,c
urban,night,medium,knife,revenge,no,no,yes,a
urban,day,medium,none,robbery,yes,yes,no,c
urban,day,low,knife,robbery,yes,yes,no,c
rural,day,medium,knife,revenge,no,no,yes,a
rural,night,medium,knife,revenge,yes,no,yes,a
rural,day,medium,gun,robbery,yes,no,yes,c
rural,night,medium,none,revenge,yes,no,no,c
urban,night,high,gun,revenge,yes,no,yes,c
rural,night,high,gun,personal,yes,yes,yes,b
rural,day,high,none,revenge,yes,no,no,c
urban,night,medium,knife,personal,no,yes,yes,b
urban,day,low,knife,revenge,no,yes,no,a
rural,night,high,gun,personal,yes,no,yes,c
urban,night,high,gun,robbery,yes,yes,yes,b
urban,day,medium,none,robbery,yes,no,yes,c
rural,day,medium,none,personal,no,yes,yes,c
urban,night,medium,gun,robbery,no,no,yes,b
rural,night,high,none,personal,yes,yes,yes,c
urban,night,high,none,robbery,no,yes,yes,a
rural,day,high,knife,revenge,yes,no,yes,a
rural,night,high,none,revenge,yes,yes,yes,c
rural,day,low,none,robbery,no,no,no,b
urban,night,high,none,personal,no,yes,yes,a
rural,day,high,gun,revenge,yes,yes,yes,b
urban,night,low,none,revenge,no,no,no,c
rural,night,high,gun,revenge,yes,no,yes,c
rural,night,medium,none,revenge,no,no,no,b
urban,night,low,none,revenge,no,yes,no,b
urban,day,low,knife,robbery,yes,yes,no,c
rural,night,high,gun,revenge,yes,no,yes,c
urban,day,medium,gun,robbery,no,yes,yes,b
rural,night,medium,knife,personal,yes,yes,yes,c
urban,day,high,gun,revenge,yes,yes,yes,b
urban,night,medium,none,robbery,no,yes,no,b
urban,night,high,gun,robbery,no,no,yes,c
rural,night,high,none,revenge,yes,no,yes,c
rural,day,low,knife,revenge,no,no,no,a
rural,night,medium,none,robbery,yes,yes,yes,c
rural,day,low,gun,personal,yes,yes,no,b
rural,night,low,none,revenge,yes,yes,no,c
urban,day,low,gun,robbery,no,yes,no,b
urban,day,low,gun,revenge,no,yes,no,b
rural,night,medium,none,robbery,yes,no,yes,c
urban,day,high,knife,personal,yes,yes,yes,c
urban,day,medium,gun,robbery,yes,no,yes,c
urban,night,medium,gun,revenge,no,no,yes,a
rural,night,medium,knife,personal,yes,no,yes,c
rural,night,high,none,revenge,no,yes,no,a
rural,day,high,gun,revenge,no,no,yes,c
urban,night,high,knife,robbery,no,yes,yes,a
urban,day,low,none,personal,no,no,no,b
urban,night,medium,none,personal,no,yes,no,c
urban,night,high,gun,revenge,yes,no,yes,c
rural,day,medium,gun,personal,yes,no,yes,c
urban,day,low,none,personal,yes,yes,no,c
urban,day,low,gun,revenge,yes,yes,no,b
rural,night,low,knife,revenge,no,no,no,a
urban,night,high,knife,personal,yes,no,yes,c
urban,day,medium,knife,revenge,no,yes,yes,a
rural,night,medium,knife,robbery,no,no,yes,c
rural,day,medium,none,robbery,no,no,no,c
rural,night,high,gun,revenge,yes,yes,yes,b
urban,night,medium,none,revenge,yes,no,no,c
urban,day,high,knife,revenge,no,yes,yes,a
rural,day,low,none,robbery,yes,no,no,c
rural,day,medium,gun,personal,no,yes,yes,b
urban,night,high,gun,personal,no,no,yes,b
urban,day,high,knife,robbery,no,no,yes,c
urban,day,low,none,personal,yes,yes,no,c
rural,day,high,none,robbery,no,no,no,c
rural,night,high,none,revenge,no,no,no,c
urban,night,high,gun,personal,no,yes,yes,b
urban,night,medium,gun,revenge,no,no,yes,a
rural,night,medium,gun,personal,yes,no,yes,c
urban,day,medium,knife,revenge,yes,yes,yes,a
urban,day,medium,none,revenge,no,no,yes,c
rural,night,medium,none,revenge,no,no,no,a
rural,day,low,gun,robbery,no,no,no,c
urban,night,medium,none,robbery,no,no,yes,a
rural,day,high,knife,personal,yes,no,yes,c
urban,night,high,none,revenge,yes,yes,yes,c
urban,day,high,none,personal,yes,no,yes,c
urban,night,high,none,revenge,yes,no,yes,c
urban,day,low,gun,robbery,yes,no,no,c
rural,day,low,none,personal,no,yes,no,a
urban,night,medium,knife,robbery,no,yes,yes,a
urban,day,high,none,personal,no,yes,no,b
rural,day,high,knife,robbery,no,no,yes,a
urban,night,low,knife,robbery,yes,yes,no,c
urban,night,low,knife,robbery,no,no,no,c
rural,night,high,none,revenge,no,yes,no,c
urban,day,medium,knife,personal,yes,yes,yes,c
urban,day,medium,gun,revenge,yes,no,yes,c
urban,night,high,none,revenge,yes,no,yes,c
urban,night,high,none,personal,yes,no,yes,c
urban,day,high,none,robbery,no,yes,yes,b
urban,night,low,knife,robbery,no,no,no,c
urban,night,medium,gun,revenge,no,no,yes,b
rural,night,high,knife,revenge,no,no,yes,a
rural,night,medium,gun,revenge,yes,yes,yes,b
urban,day,low,knife,revenge,yes,yes,no,a
urban,day,medium,knife,robbery,yes,yes,yes,c
urban,night,low,gun,robbery,yes,yes,no,b
urban,night,high,knife,robbery,no,yes,yes,c
urban,night,low,none,robbery,no,yes,no,c
rural,day,medium,gun,personal,yes,yes,yes,b
rural,day,medium,knife,personal,no,no,yes,b
urban,night,medium,gun,revenge,no,yes,yes,b
urban,night,medium,knife,personal,no,yes,yes,c
urban,day,low,knife,personal,no,no,no,b
rural,night,medium,none,personal,no,yes,yes,b
urban,day,medium,gun,robbery,yes,no,yes,c
rural,day,high,none,personal,yes,yes,no,c
urban,night,medium,gun,personal,no,yes,yes,b
urban,night,low,gun,personal,yes,no,no,c
urban,day,high,knife,robbery,yes,no,yes,c
rural,night,low,none,personal,no,yes,no,b
rural,night,high,none,personal,yes,yes,yes,c
urban,night,high,knife,robbery,yes,yes,yes,c
urban,night,low,gun,robbery,yes,no,no,c
urban,night,medium,none,revenge,yes,yes,no,c
urban,day,high,gun,personal,yes,no,yes,c
urban,day,low,gun,personal,yes,no,no,c
rural,day,medium,none,personal,no,no,no,c
rural,day,medium,none,personal,yes,no,no,c
rural,day,low,none,personal,no,yes,no,b
rural,night,medium,gun,personal,no,no,yes,a
rural,night,high,gun,robbery,yes,no,yes,c
rural,day,low,knife,revenge,no,no,no,a
rural,night,low,none,revenge,no,yes,no,b
rural,night,medium,gun,robbery,no,no,yes,a
urban,day,low,none,personal,yes,no,no,c
rural,day,medium,gun,personal,no,no,yes,a
rural,day,medium,gun,robbery,no,no,yes,c
urban,day,low,gun,personal,no,yes,no,b
urban,night,high,knife,personal,no,no,yes,b
urban,day,high,gun,robbery,yes,yes,yes,b
urban,day,high,none,robbery,yes,no,no,c
rural,night,high,none,robbery,no,yes,yes,c
urban,day,high,none,personal,yes,no,no,c
rural,night,low,knife,robbery,yes,yes,no,c
rural,night,medium,gun,revenge,no,no,yes,c
urban,night,medium,none,personal,no,yes,no,b
rural,night,low,none,personal,no,yes,no,c
urban,night,medium,gun,revenge,no,yes,yes,b
urban,day,medium,knife,personal,no,no,yes,b
urban,day,high,none,robbery,yes,no,no,c
urban,day,high,none,personal,yes,no,no,c
urban,day,medium,knife,personal,no,yes,yes,a
urban,night,medium,knife,personal,no,no,yes,a
rural,night,high,none,revenge,no,no,no,a
urban,day,high,gun,robbery,no,yes,yes,b
urban,night,high,knife,robbery,yes,yes,yes,c
rural,night,low,knife,robbery,yes,yes,no,c
urban,day,low,none,revenge,no,no,no,c
rural,night,medium,none,revenge,no,no,yes,a
urban,day,medium,knife,personal,yes,yes,yes,c
urban,night,low,none,personal,no,no,no,b
rural,night,high,knife,revenge,yes,yes,yes,a
